agent_id,fact_type,expert_prior,successes,failures,n,empirical_accuracy,wilson_95_low,wilson_95_high,posterior_m5,evidence_band
billing_agent,assignment_group,0.5,1,3,4,0.25,0.045586062644636216,0.6993639475573634,0.3888888888888889,n_1_to_4
billing_agent,category,0.6,1,4,5,0.2,0.036223160969787456,0.6244717358814612,0.4,n_5_to_9
billing_agent,impact,0.52,0,3,3,0.0,0.0,0.5615060804490177,0.325,n_1_to_4
billing_agent,opened_date,0.32,0,2,2,0.0,0.0,0.6576280471103807,0.2285714285714286,n_1_to_4
billing_agent,priority,0.38,1,4,5,0.2,0.036223160969787456,0.6244717358814612,0.29,n_5_to_9
billing_agent,resolved_by,0.9,4,0,4,1.0,0.5100999795960008,1.0,0.9444444444444444,n_1_to_4
billing_agent,state,0.8,3,1,4,0.75,0.30063605244263664,0.9544139373553638,0.7777777777777778,n_1_to_4
billing_agent,urgency,0.44,0,4,4,0.0,0.0,0.48990002040399916,0.24444444444444446,n_1_to_4
coordinator_agent,assignment_group,0.8,2,3,5,0.4,0.11761823115925325,0.769280067791163,0.6,n_5_to_9
coordinator_agent,category,0.8,0,0,0,,,,0.8,expert_only
coordinator_agent,impact,0.8,0,0,0,,,,0.8,expert_only
coordinator_agent,opened_date,0.8,0,0,0,,,,0.8,expert_only
coordinator_agent,priority,0.8,1,0,1,1.0,0.20654329147389294,1.0,0.8333333333333334,n_1_to_4
coordinator_agent,resolved_by,0.8,0,0,0,,,,0.8,expert_only
coordinator_agent,state,0.8,2,0,2,1.0,0.3423719528896193,1.0,0.8571428571428571,n_1_to_4
coordinator_agent,urgency,0.8,0,0,0,,,,0.8,expert_only
delivery_agent,assignment_group,0.55,0,3,3,0.0,0.0,0.5615060804490177,0.34375,n_1_to_4
delivery_agent,category,0.63,4,0,4,1.0,0.5100999795960008,1.0,0.7944444444444445,n_1_to_4
delivery_agent,impact,0.8,3,0,3,1.0,0.4384939195509822,1.0,0.875,n_1_to_4
delivery_agent,opened_date,0.58,0,1,1,0.0,0.0,0.7934567085261071,0.48333333333333334,n_1_to_4
delivery_agent,priority,0.7,4,1,5,0.8,0.37552826411853885,0.9637768390302125,0.75,n_5_to_9
delivery_agent,resolved_by,0.52,0,2,2,0.0,0.0,0.6576280471103807,0.37142857142857144,n_1_to_4
delivery_agent,state,0.9,4,3,7,0.5714285714285714,0.2504542304090258,0.8417830777373732,0.7083333333333334,n_5_to_9
delivery_agent,urgency,0.84,4,1,5,0.8,0.37552826411853885,0.9637768390302125,0.82,n_5_to_9
intake_agent,assignment_group,0.83,4,1,5,0.8,0.37552826411853885,0.9637768390302125,0.8149999999999998,n_5_to_9
intake_agent,category,0.78,2,3,5,0.4,0.11761823115925325,0.769280067791163,0.5900000000000001,n_5_to_9
intake_agent,impact,0.68,1,1,2,0.5,0.09452865480086611,0.905471345199134,0.6285714285714287,n_1_to_4
intake_agent,opened_date,0.95,3,0,3,1.0,0.4384939195509822,1.0,0.96875,n_1_to_4
intake_agent,priority,0.88,3,4,7,0.42857142857142855,0.1582169222626268,0.7495457695909742,0.6166666666666667,n_5_to_9
intake_agent,resolved_by,0.38,0,2,2,0.0,0.0,0.6576280471103807,0.2714285714285714,n_1_to_4
intake_agent,state,0.72,1,7,8,0.125,0.02241690886329618,0.4708948057698615,0.3538461538461538,n_5_to_9
intake_agent,urgency,0.62,1,2,3,0.3333333333333333,0.061490315276160515,0.7923450448735121,0.5125,n_1_to_4
