agent_id,fact_type,successes,failures,n,raw_accuracy,expert_prior,posterior
billing_agent,assignment_group,0,2,2,0.0,0.5,0.35714285714285715
billing_agent,category,0,4,4,0.0,0.6,0.3333333333333333
billing_agent,impact,0,3,3,0.0,0.52,0.325
billing_agent,opened_date,0,2,2,0.0,0.32,0.2285714285714286
billing_agent,priority,0,3,3,0.0,0.38,0.2375
billing_agent,resolved_by,4,0,4,1.0,0.9,0.9444444444444444
billing_agent,state,2,1,3,0.6666666666666666,0.8,0.75
billing_agent,urgency,0,4,4,0.0,0.44,0.24444444444444446
coordinator_agent,assignment_group,2,0,2,1.0,0.8,0.8571428571428571
coordinator_agent,priority,1,0,1,1.0,0.8,0.8333333333333334
delivery_agent,assignment_group,0,1,1,0.0,0.55,0.4583333333333333
delivery_agent,category,4,0,4,1.0,0.63,0.7944444444444445
delivery_agent,impact,3,0,3,1.0,0.8,0.875
delivery_agent,opened_date,0,1,1,0.0,0.58,0.48333333333333334
delivery_agent,priority,4,0,4,1.0,0.7,0.8333333333333334
delivery_agent,resolved_by,0,2,2,0.0,0.52,0.37142857142857144
delivery_agent,state,4,0,4,1.0,0.9,0.9444444444444444
delivery_agent,urgency,4,0,4,1.0,0.84,0.911111111111111
intake_agent,assignment_group,4,1,5,0.8,0.83,0.8149999999999998
intake_agent,category,2,2,4,0.5,0.78,0.6555555555555556
intake_agent,impact,1,1,2,0.5,0.68,0.6285714285714287
intake_agent,opened_date,3,0,3,1.0,0.95,0.96875
intake_agent,priority,3,3,6,0.5,0.88,0.6727272727272727
intake_agent,resolved_by,0,2,2,0.0,0.38,0.2714285714285714
intake_agent,state,1,4,5,0.2,0.72,0.45999999999999996
intake_agent,urgency,1,1,2,0.5,0.62,0.5857142857142856
